Arquivo: dmxa0296
Iteracoes: 10
Tempo total: 1.09216 minutos
Memoria total: 148608.00 bytes
Tempo Medio: 0.10922 minutos
Memoria Media: 14860.80 bytes

Arquivo: dmxa0368
Iteracoes: 10
Tempo total: 142.17898 minutos
Memoria total: 35605621.00 bytes
Tempo Medio: 14.21790 minutos
Memoria Media: 3560562.10 bytes

Arquivo: dmxa0454
Iteracoes: 10
Tempo total: 125.03225 minutos
Memoria total: 35382406.00 bytes
Tempo Medio: 12.50322 minutos
Memoria Media: 3538240.60 bytes

Arquivo: dmxa0628
Iteracoes: 10
Tempo total: 0.84689 minutos
Memoria total: 26667979.00 bytes
Tempo Medio: 0.08469 minutos
Memoria Media: 2666797.90 bytes

Arquivo: dmxa0734
Iteracoes: 10
Tempo total: 15.78206 minutos
Memoria total: 28675122.00 bytes
Tempo Medio: 1.57821 minutos
Memoria Media: 2867512.20 bytes

Arquivo: dmxa0848
Iteracoes: 10
Tempo total: 7.70880 minutos
Memoria total: 28134941.00 bytes
Tempo Medio: 0.77088 minutos
Memoria Media: 2813494.10 bytes

Arquivo: dmxa0903
Iteracoes: 10
Tempo total: 12.03600 minutos
Memoria total: 28702802.00 bytes
Tempo Medio: 1.20360 minutos
Memoria Media: 2870280.20 bytes

Arquivo: dmxa1010
Iteracoes: 10
Tempo total: 615.16325 minutos
Memoria total: 47501188.00 bytes
Tempo Medio: 61.51632 minutos
Memoria Media: 4750118.80 bytes

Arquivo: dmxa1109
Iteracoes: 10
Tempo total: 4.28569 minutos
Memoria total: 28954630.00 bytes
Tempo Medio: 0.42857 minutos
Memoria Media: 2895463.00 bytes

Arquivo: dmxa1200
Iteracoes: 10
Tempo total: 19.52791 minutos
Memoria total: 30643138.00 bytes
Tempo Medio: 1.95279 minutos
Memoria Media: 3064313.80 bytes

