Arquivo: dmxa0296
Iteracoes: 10
Tempo total: 0.04625 minutos
Memoria total: 441680.00 bytes
Tempo Medio: 0.00462 minutos
Memoria Media: 44168.00 bytes

Arquivo: dmxa0368
Iteracoes: 10
Tempo total: 0.69784 minutos
Memoria total: 35651787.00 bytes
Tempo Medio: 0.06978 minutos
Memoria Media: 3565178.70 bytes

Arquivo: dmxa0454
Iteracoes: 10
Tempo total: 0.42359 minutos
Memoria total: 35643732.00 bytes
Tempo Medio: 0.04236 minutos
Memoria Media: 3564373.20 bytes

Arquivo: dmxa0628
Iteracoes: 10
Tempo total: 0.03337 minutos
Memoria total: 26630237.00 bytes
Tempo Medio: 0.00334 minutos
Memoria Media: 2663023.70 bytes

Arquivo: dmxa0734
Iteracoes: 10
Tempo total: 0.10142 minutos
Memoria total: 29596497.00 bytes
Tempo Medio: 0.01014 minutos
Memoria Media: 2959649.70 bytes

Arquivo: dmxa0848
Iteracoes: 10
Tempo total: 0.09706 minutos
Memoria total: 28636866.00 bytes
Tempo Medio: 0.00971 minutos
Memoria Media: 2863686.60 bytes

Arquivo: dmxa0903
Iteracoes: 10
Tempo total: 0.14737 minutos
Memoria total: 29424942.00 bytes
Tempo Medio: 0.01474 minutos
Memoria Media: 2942494.20 bytes

Arquivo: dmxa1010
Iteracoes: 10
Tempo total: 1.26067 minutos
Memoria total: 46882502.00 bytes
Tempo Medio: 0.12607 minutos
Memoria Media: 4688250.20 bytes

Arquivo: dmxa1109
Iteracoes: 10
Tempo total: 0.07885 minutos
Memoria total: 28718269.00 bytes
Tempo Medio: 0.00788 minutos
Memoria Media: 2871826.90 bytes

Arquivo: dmxa1200
Iteracoes: 10
Tempo total: 0.20333 minutos
Memoria total: 31106170.00 bytes
Tempo Medio: 0.02033 minutos
Memoria Media: 3110617.00 bytes

